iter	Passed	Remaining
389	32000	9025
390	32079	8942
391	32155	8859
392	32233	8775
393	32321	8695
394	32402	8613
395	32478	8529
396	32556	8446
397	32634	8363
398	32713	8280
399	32789	8197
400	32872	8115
401	32949	8032
402	33025	7949
403	33104	7866
404	33185	7784
405	33262	7701
406	33340	7618
407	33416	7535
408	33497	7452
409	33573	7369
410	33657	7288
411	33734	7205
412	33813	7122
413	33892	7040
414	33988	6961
415	34067	6878
416	34142	6795
417	34218	6712
418	34300	6630
419	34384	6549
420	34459	6466
421	34535	6383
422	34612	6300
423	34693	6218
424	34769	6135
425	34847	6053
426	34926	5971
427	35001	5888
428	35078	5805
429	35156	5723
430	35233	5640
431	35317	5559
432	35394	5476
433	35470	5394
434	35547	5311
435	35628	5229
436	35705	5147
437	35781	5064
438	35856	4982
439	35938	4900
440	36013	4818
441	36095	4736
442	36171	4654
443	36246	4571
444	36322	4489
445	36403	4407
446	36479	4325
447	36554	4242
448	36630	4160
449	36709	4078
450	36787	3996
451	36865	3914
452	36944	3833
453	37024	3751
454	37104	3669
455	37181	3587
456	37257	3505
457	37344	3424
458	37419	3342
459	37495	3260
460	37570	3178
461	37653	3097
462	37734	3015
463	37812	2933
464	37888	2851
465	37973	2770
466	38049	2688
467	38128	2607
468	38203	2525
469	38285	2443
470	38360	2361
471	38442	2280
472	38519	2198
473	38602	2117
474	38679	2035
475	38755	1954
476	38831	1872
477	38910	1790
478	38987	1709
479	39067	1627
480	39146	1546
481	39225	1464
482	39305	1383
483	39380	1301
484	39456	1220
485	39541	1139
486	39623	1057
487	39705	976
488	39785	894
489	39861	813
490	39938	732
491	40018	650
492	40098	569
493	40175	487
494	40252	406
495	40368	325
496	40482	244
497	40596	163
498	40688	81
499	40763	0
