iter	Logloss
0	0.6500604052
1	0.637220716
2	0.6257854692
3	0.614813982
4	0.6070247873
5	0.5994442483
6	0.5940938392
7	0.590084745
8	0.5792904335
9	0.5769999757
10	0.5750617259
11	0.5734358684
12	0.571838071
13	0.5672400836
14	0.5664414159
15	0.5657515504
16	0.5630309531
17	0.5614537642
18	0.5604205164
19	0.5601872979
20	0.5599425835
21	0.5592337841
22	0.5590577309
23	0.558931193
24	0.5587229174
25	0.5585852546
26	0.5583679567
27	0.5581997181
28	0.5581027389
29	0.5580174754
30	0.557948395
31	0.5575904924
32	0.5573206446
33	0.557079972
34	0.5570260825
35	0.5569419964
36	0.5568842355
37	0.556772151
38	0.5567182118
39	0.5566059974
40	0.5565648847
41	0.5565063733
42	0.556453919
43	0.5563716931
44	0.5563317498
45	0.5562719648
46	0.5562267546
47	0.5561265432
48	0.5560795874
49	0.5560205268
50	0.555970334
51	0.5558783312
52	0.5558194522
53	0.5557329546
54	0.5556919927
55	0.5556336029
56	0.5555448698
57	0.5554516852
58	0.5553958636
59	0.5553368277
60	0.5552769429
61	0.5551981395
62	0.5551196735
63	0.5550392074
64	0.554970019
65	0.5548685153
66	0.554815623
67	0.5547498443
68	0.5547033739
69	0.5546419486
70	0.5545946
71	0.5545512201
72	0.5544916413
73	0.5544602622
74	0.5543743194
75	0.5543158268
76	0.5542616329
77	0.5542059467
78	0.554114161
79	0.5540300564
80	0.5539956123
81	0.5539202776
82	0.5538734496
83	0.5537975125
84	0.5537656165
85	0.5537017414
86	0.5536586516
87	0.5536289372
88	0.553438328
89	0.5533997937
90	0.5533642231
91	0.5533217102
92	0.5532706026
93	0.5532216259
94	0.5531560689
95	0.5531072784
96	0.553052546
97	0.553001768
98	0.5529474778
99	0.5529175872
100	0.5528648319
101	0.5528276338
102	0.5527793486
103	0.5527406206
104	0.5527043484
105	0.5526579359
106	0.5525948846
107	0.5525468029
108	0.5524942471
109	0.5524594823
110	0.5524260041
111	0.5523784079
112	0.5523530719
113	0.5521790338
114	0.5521355847
115	0.5520937791
116	0.552045114
117	0.5520033984
118	0.5519427275
119	0.5518527172
120	0.5517790193
121	0.5517323962
122	0.5516765234
123	0.5515944585
124	0.5515497363
125	0.551494487
126	0.5514629156
127	0.551400255
128	0.5513561738
129	0.5513073311
130	0.5512519604
131	0.5511902092
132	0.5511371839
133	0.5510926619
134	0.5510509884
135	0.5509435256
136	0.5508927319
137	0.5508418683
138	0.5508016853
139	0.5507531129
140	0.5507117219
141	0.5506482327
142	0.5505894411
143	0.5505204766
144	0.550420872
145	0.5503751203
146	0.5503000681
147	0.5502069877
148	0.5501378347
149	0.5500173984
150	0.5499483604
151	0.5498810479
152	0.5498173313
153	0.5497036225
154	0.5495753608
155	0.5494853984
156	0.5494177719
157	0.5493503465
158	0.5492788131
159	0.5492075149
160	0.5491200164
161	0.5490601155
162	0.5489817391
163	0.5488873984
164	0.5487372239
165	0.5486139774
166	0.5485019188
167	0.5484135125
168	0.5483130724
169	0.5481818716
170	0.5480575058
171	0.5479900993
172	0.5478374065
173	0.5477596842
174	0.5476905545
175	0.5476281886
176	0.5475557285
177	0.5474565334
178	0.5473520778
179	0.5472893746
180	0.5472290717
181	0.5471597472
182	0.5470110152
183	0.5469276247
184	0.5468274011
185	0.5467369862
186	0.5466142941
187	0.5465473421
188	0.5464823328
189	0.546367668
190	0.5462636722
191	0.5461439792
192	0.5460908611
193	0.5460385388
194	0.5459439425
195	0.5458797663
196	0.5457789073
197	0.5456933688
198	0.5455521897
199	0.545461814
200	0.545356942
201	0.5452143191
202	0.5451473525
203	0.5450505518
204	0.5449868339
205	0.5449182028
206	0.5448037192
207	0.5446606039
208	0.544600125
209	0.544532101
210	0.5444661319
211	0.5444124895
212	0.5443286725
213	0.5442389647
214	0.5441129245
215	0.5440462161
216	0.5439644993
217	0.5439031273
218	0.5438106011
219	0.5437440057
220	0.5436609104
221	0.5435474389
222	0.5434619369
223	0.5433841084
224	0.5433082086
225	0.5432011605
226	0.5430686191
227	0.5429557842
228	0.5428506948
229	0.5427559919
230	0.5426786861
231	0.5425428423
232	0.5424816305
233	0.5423690002
234	0.5422640688
235	0.5422080085
236	0.5421376016
237	0.5420754456
238	0.5419492648
239	0.5418901755
240	0.5417580235
241	0.5416965275
242	0.5416048458
243	0.5415137187
244	0.5414591282
245	0.5414128452
246	0.5413153483
247	0.5412184062
248	0.541095854
249	0.5410398794
250	0.540925404
251	0.5408466471
252	0.5407811236
253	0.5407271545
254	0.5406400766
255	0.5405408769
256	0.5404856565
257	0.5403881645
258	0.5402995769
259	0.5402332806
260	0.5401758263
261	0.5400927154
262	0.5400068832
263	0.5399562425
264	0.5398765333
265	0.5398092098
266	0.5396944933
267	0.5395890327
268	0.5394911601
269	0.5394108327
270	0.5393379743
271	0.5392462986
272	0.5392068301
273	0.5390929855
274	0.5389970115
275	0.5389247591
276	0.5388532921
277	0.5387836571
278	0.5387323605
279	0.5386195498
280	0.5385224885
281	0.5384716848
282	0.5383738148
283	0.5383160549
284	0.5382084664
285	0.5381434765
286	0.53804506
287	0.5379897537
288	0.5378359109
289	0.5377673578
290	0.5376811636
291	0.5376029958
292	0.537557086
293	0.537489363
294	0.5374359841
295	0.5373911213
296	0.5372621949
297	0.537183006
298	0.537090574
299	0.5369762923
300	0.5368874468
301	0.5367936434
302	0.5367433398
303	0.5366773524
304	0.536621744
305	0.5365748066
306	0.5364671652
307	0.536375414
308	0.5363078858
309	0.5362327073
310	0.5360878108
311	0.5360390259
312	0.5359513113
313	0.5359033866
314	0.5358595198
315	0.5357995204
316	0.535683048
317	0.5356348284
318	0.5355470633
319	0.5354791417
320	0.5354291501
321	0.535380559
322	0.5352748262
323	0.5352285895
324	0.5351620962
325	0.5351143524
326	0.5350668913
327	0.5350261348
328	0.5348782185
329	0.53480662
330	0.5347594071
331	0.5346622707
332	0.534612042
333	0.5345396311
334	0.5343722803
335	0.5343272731
336	0.5342765964
337	0.5341672305
338	0.534058495
339	0.5339517842
340	0.5338742348
341	0.5337595544
342	0.5336964237
343	0.5336411013
344	0.5335852137
345	0.5335383816
346	0.5334568926
347	0.5332960594
348	0.5332501176
349	0.5331318063
350	0.5330723797
351	0.5329758497
352	0.5329276049
353	0.5328391758
354	0.5327401931
355	0.5326972317
356	0.5326236389
357	0.5325768232
358	0.5325314428
359	0.5324328717
360	0.5323828171
361	0.5323046177
362	0.5322314651
363	0.5321861824
364	0.5321068895
365	0.5320196794
366	0.5319337787
367	0.5318573167
368	0.5318044272
369	0.5317265837
370	0.5316816206
371	0.5316377225
372	0.5315149735
373	0.5314231323
374	0.5313411645
375	0.5312394454
376	0.531186069
377	0.5311169987
378	0.5310476796
379	0.5309624704
380	0.5309206927
381	0.5308623112
382	0.530817613
383	0.5307342011
384	0.5306539084
385	0.5305785141
386	0.5304849787
387	0.5303875081
388	0.530343083
389	0.5302884754
390	0.5302373042
391	0.530191075
392	0.5301129743
393	0.5299929586
394	0.5298795987
395	0.5298261556
396	0.5297498143
397	0.5296963793
398	0.5296026277
399	0.5295483194
400	0.529452782
401	0.5293680216
402	0.5293182637
403	0.5292557717
404	0.529183067
405	0.5291161525
406	0.5290361625
407	0.5289930824
408	0.5289302794
409	0.5288865006
410	0.5287699203
411	0.5287241832
412	0.5286501639
413	0.5286049697
414	0.5284962727
415	0.5284500562
416	0.5284071349
417	0.528361069
418	0.5282573359
419	0.5281504049
420	0.5281092213
421	0.52806062
422	0.5280179659
423	0.5279275019
424	0.5278911747
425	0.5277906475
426	0.5276942976
427	0.5276558817
428	0.5275806513
429	0.5274880255
430	0.5274194371
431	0.5273132771
432	0.5272354492
433	0.5271931513
434	0.5271533661
435	0.5270605279
436	0.5270126728
437	0.5269594859
438	0.5269093625
