iter	Logloss
439	0.5267961339
440	0.526754318
441	0.5266543952
442	0.5266121669
443	0.5265670133
444	0.5265252447
445	0.5264360091
446	0.5263910395
447	0.5263542088
448	0.5263133255
449	0.5262329035
450	0.5261825716
451	0.5261043617
452	0.5260339225
453	0.5259923221
454	0.5259226155
455	0.5258871187
456	0.5258402525
457	0.5256901375
458	0.5256338145
459	0.5255786479
460	0.5255315117
461	0.5254497988
462	0.5253789329
463	0.5253188076
464	0.5252744238
465	0.5251737567
466	0.5251347712
467	0.5250443568
468	0.5250010809
469	0.5249030371
470	0.5248476115
471	0.5247619413
472	0.524700369
473	0.5246145594
474	0.5245661139
475	0.5245259317
476	0.524480858
477	0.5243618134
478	0.5243075628
479	0.5242161785
480	0.5241391141
481	0.5240642584
482	0.5239986943
483	0.5239587719
484	0.523907456
485	0.523783471
486	0.5237163698
487	0.5236192231
488	0.5235511036
489	0.5235089203
490	0.5234041511
491	0.5233103937
492	0.5232476712
493	0.5231786659
494	0.5231406658
495	0.5230933136
496	0.5230211193
497	0.5229314957
498	0.522879851
499	0.5228402903
